Title,Price,Stock Availability
Civilization and Its Discontents,£59.95,True
Cinder (The Lunar Chronicles #1),£26.09,True
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,£37.35,True
Career of Evil (Cormoran Strike #3),£24.72,True
Breaking Dawn (Twilight #4),£35.28,True
Brave Enough,£51.32,True
Boy Meets Boy,£21.12,True
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",£27.35,True
Blink: The Power of Thinking Without Thinking,£21.74,True
Black Flags: The Rise of ISIS,£40.87,True
"Black Butler, Vol. 1 (Black Butler #1)",£49.31,True
Big Little Lies,£22.11,True
Between Shades of Gray,£20.79,True
Best of My Love (Fool's Gold #20),£27.41,True
Beowulf,£38.35,True
Beautiful Creatures (Caster Chronicles #1),£21.55,True
Awkward,£38.02,True
Ash,£22.06,True
Are We There Yet?,£10.66,True
Are We Smart Enough to Know How Smart Animals Are?,£56.58,True
